data,ano,mes_num,mes,dia,coleta,grupo,produto,unidade,preco,mercado,arquivo
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,ACEM C/ OSSO,Kg,25.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,ACEM S/ OSSO,Kg,34.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,ALCATRA,Kg,40.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,CARNE SUINA TRASEIRA,Kg,23.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,CHA DE DENTRO (COXAO MOLE),Kg,40.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,CHA DE FORA (COXAO DURO),Kg,38.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,CONTRA FILE,Kg,40.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,COSTELA,Kg,22.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,FILE MIGNION,Kg,52.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,FRANGO DE GRANJA,Kg,16.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,MANTEIGA,Kg,38.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,MUSCULO,Kg,27.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,OVO BRANCO GRANDE,Dz,8.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,OVO VERMELHO GRANDE,Dz,9.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
2026-01-05,2026,1,Janeiro,5,"01 Jan (5,7)",Origem animal,PALETA C/ OSSO,Kg,24.0,Mercado Maria Virginia Leite Franco,PRECOS-DE-VAREJO_MERCADO-CENTRAL-DE-ARACAJU_SEMANAL_5-E-7-JAN-2026-1.pdf
